EEG_mean,EEG_std,EEG_rms,EEG_energy,EMG_mean,EMG_std,EMG_rms,EMG_energy,label
1.488415888588745e-07,4.4352639698316194e-05,4.435288944394974e-05,0.0012287785668982,6.253015980781284,802.2272782499147,831.9209886184245,53008751157.625,0
-4.39100439829379e-09,4.678343847590455e-05,4.67834386819702e-05,0.0013671434058699,7.9004213925645885,807.499763386239,876.8694737762903,58571732040.125,1
-2.1662921292951614e-08,4.930594547829584e-05,4.930595023717564e-05,0.0031117782128522,5.127195680628272,823.0307867154379,834.3441399027653,53184342985.5625,2
-6.453723474653534e-08,4.2600674055415175e-05,4.26007229402318e-05,0.0023229716416389,1.5731015649616635,546.1266638085636,580.2985845763516,25649303395.0,0
7.654300547600225e-08,4.740263329654414e-05,4.740269509509267e-05,0.0028761798429162,7.126059206952743,799.1213559753515,848.4641477587088,53012803434.75,1
-7.917495735691055e-08,4.48359347055048e-05,4.483600461225511e-05,0.0025731421562754,-10.609392794285124,712.2031271330076,735.8796710398395,41844247687.375,2
6.773937363895095e-08,4.449174151518228e-05,4.449179308228131e-05,0.0025337851541459,11.30028795268237,839.4769974234637,856.4919086809714,56555959527.375,0
1.7576391085447694e-07,4.02907162675368e-05,4.029109964127951e-05,0.0020779170691884,8.963350041339396,682.6719207190813,688.182319415641,36660034387.375,1
4.2133767426036364e-08,4.492324879974262e-05,4.492326855848686e-05,0.0025831680742117,2.200042982181932,797.6636386550433,853.5103471997893,55929773783.375,2
1.1520774153881843e-07,4.378873375934463e-05,4.3788885314317815e-05,0.0024543570906502,4.935852574581118,606.5373031488245,656.9808250340459,33797870384.625,0
